UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
45195927,Street Light Out,Street Light Condition,2019-12-18 14:43:00,2020-01-14 13:01:00.000,Closed,27,BROOKLYN,05 BROOKLYN,,,11207,INTERSECTION,40.67830114957,-73.88987313162,Location Type: Intersection,UNKNOWN,2019-12-17 14:43:00.000
45190189,Street Light Out,Street Light Condition,2019-12-18 14:42:00,2020-01-14 13:02:00.000,Closed,27,BROOKLYN,05 BROOKLYN,,,11207,INTERSECTION,40.67830114957,-73.88987313162,Location Type: Intersection,UNKNOWN,2019-12-17 14:42:00.000
45188774,Street Light Out,Street Light Condition,2019-12-18 14:41:00,2020-02-05 17:37:00.000,Closed,49,BROOKLYN,03 BROOKLYN,,,11233,INTERSECTION,40.68129694085,-73.93471267671,Location Type: Intersection,UNKNOWN,2019-12-17 14:41:00.000
45193332,Street Light Out,Street Light Condition,2019-12-18 14:40:00,2021-06-09 14:54:00.000,Closed,539,BROOKLYN,13 BROOKLYN,,,11224,INTERSECTION,40.57556818598,-73.98121659126,Location Type: Intersection,UNKNOWN,2019-12-17 14:40:00.000
45192270,Street Light Out,Street Light Condition,2019-12-18 14:14:00,2019-12-18 14:14:00.000,Closed,0,BROOKLYN,03 BROOKLYN,,,11221,INTERSECTION,40.68470544370,-73.94418492387,Location Type: Intersection,UNKNOWN,2019-12-17 14:14:00.000
45192548,Street Light Lamp Dim,Street Light Condition,2019-12-18 14:13:00,2019-12-18 14:13:00.000,Closed,0,BROOKLYN,03 BROOKLYN,,,11233,INTERSECTION,40.67842703346,-73.92742920227,Location Type: Intersection,UNKNOWN,2019-12-17 14:13:00.000
45189636,Fixture/Luminaire Out Of Position,Street Light Condition,2019-12-18 14:12:00,2019-12-18 14:12:00.000,Closed,0,BROOKLYN,14 BROOKLYN,,,11210,INTERSECTION,40.61721165439,-73.94506621351,Location Type: Intersection,UNKNOWN,2019-12-17 14:12:00.000
45190200,Street Light Out,Street Light Condition,2019-12-18 14:12:00,2019-12-18 14:12:00.000,Closed,0,BROOKLYN,03 BROOKLYN,,,11213,INTERSECTION,40.67872957530,-73.93297022357,Location Type: Intersection,UNKNOWN,2019-12-17 14:12:00.000
45192526,Multiple Street Lights Out,Street Light Condition,2019-12-18 14:10:00,2019-12-18 14:10:00.000,Closed,0,BROOKLYN,10 BROOKLYN,,,11209,INTERSECTION,40.63010877628,-74.02535923078,Location Type: Intersection,UNKNOWN,2019-12-17 14:10:00.000
45193371,Street Light Out,Street Light Condition,2019-12-18 14:10:00,2019-12-18 14:10:00.000,Closed,0,BROOKLYN,07 BROOKLYN,,,11220,INTERSECTION,40.63858285623,-74.02077206001,Location Type: Intersection,UNKNOWN,2019-12-17 14:10:00.000
45190201,Street Light Out,Street Light Condition,2019-12-18 14:09:00,2019-12-18 14:09:00.000,Closed,0,BROOKLYN,07 BROOKLYN,,,11232,INTERSECTION,40.66214039778,-73.99627664950,Location Type: Intersection,UNKNOWN,2019-12-17 14:09:00.000
45193372,Street Light Out,Street Light Condition,2019-12-18 14:09:00,2019-12-18 14:09:00.000,Closed,0,BROOKLYN,07 BROOKLYN,,,11232,INTERSECTION,40.65151243316,-74.00733379598,Location Type: Intersection,UNKNOWN,2019-12-17 14:09:00.000
45190938,Street Light Out,Street Light Condition,2019-12-18 14:08:00,2019-12-18 14:08:00.000,Closed,0,BROOKLYN,11 BROOKLYN,,,11214,INTERSECTION,40.61157037882,-73.99459748796,Location Type: Intersection,UNKNOWN,2019-12-17 14:08:00.000
45188012,Street Light Out,Street Light Condition,2019-12-18 14:07:00,2019-12-18 14:07:00.000,Closed,0,BROOKLYN,15 BROOKLYN,,,11229,INTERSECTION,40.60739262153,-73.94320874191,Location Type: Intersection,UNKNOWN,2019-12-17 14:07:00.000
45194160,Street Light Out,Street Light Condition,2019-12-18 14:06:00,2019-12-18 14:06:00.000,Closed,0,BROOKLYN,15 BROOKLYN,,,11229,INTERSECTION,40.60223038064,-73.93426422116,Location Type: Intersection,UNKNOWN,2019-12-17 14:06:00.000
45188784,Street Light Out,Street Light Condition,2019-12-18 14:06:00,2019-12-18 14:06:00.000,Closed,0,BROOKLYN,15 BROOKLYN,,,11229,INTERSECTION,40.59938157194,-73.95140427040,Location Type: Intersection,UNKNOWN,2019-12-17 14:06:00.000
45192273,Street Light Out,Street Light Condition,2019-12-18 14:05:00,2019-12-17 14:04:00.000,Pending,-1,BROOKLYN,04 BROOKLYN,,,11221,INTERSECTION,40.69644309080,-73.92227067022,Location Type: Intersection,UNKNOWN,2019-12-17 14:04:00.000
45194214,In-Line Fuse Missing,Street Light Condition,2019-12-18 14:03:00,2019-12-18 14:03:00.000,Closed,0,BROOKLYN,03 BROOKLYN,,,11206,INTERSECTION,40.69790353391,-73.94679568329,Location Type: Intersection,UNKNOWN,2019-12-17 14:03:00.000
45194906,Street Light Out,Street Light Condition,2019-12-18 14:03:00,2019-12-18 14:03:00.000,Closed,0,BROOKLYN,01 BROOKLYN,,,11211,INTERSECTION,40.71530534674,-73.96043534987,Location Type: Intersection,UNKNOWN,2019-12-17 14:03:00.000
45188151,Fixture/Luminaire Out Of Position,Street Light Condition,2019-12-18 14:02:00,2019-12-18 14:02:00.000,Closed,0,BROOKLYN,01 BROOKLYN,,,11222,INTERSECTION,40.72903189975,-73.94683938282,Location Type: Intersection,UNKNOWN,2019-12-17 14:02:00.000
45191392,Street Light Out,Street Light Condition,2019-12-18 12:21:00,2019-12-18 12:30:00.000,Closed,0,BROOKLYN,05 BROOKLYN,531 SCHENCK AVENUE,SCHENCK AVENUE,11207,INTERSECTION,40.66738795333,-73.88708309524,Location Type: Intersection,UNKNOWN,2019-12-18 12:30:00.000
45193941,Street Light Out,Street Light Condition,2019-12-18 10:52:00,2019-12-18 12:40:00.000,Closed,0,BROOKLYN,12 BROOKLYN,1013 46 STREET,46 STREET,11219,ADDRESS,40.64044839034,-73.99654810240,Location Type: Residential Address,UNKNOWN,2019-12-18 12:40:00.000
45192921,Lamppost Base Door/Cover Open,Street Light Condition,2019-12-18 10:35:00,2019-12-18 12:41:00.000,Closed,0,BROOKLYN,10 BROOKLYN,7401 4 AVENUE,4 AVENUE,11209,INTERSECTION,40.63083071577,-74.02508569882,Location Type: Intersection,UNKNOWN,2019-12-18 12:41:00.000
45195151,Lamppost Knocked Down,Street Light Condition,2019-12-18 10:24:00,2023-03-21 16:36:00.000,Closed,1189,BROOKLYN,02 BROOKLYN,BKLYN QUEENS EXPY,BKLYN QUEENS EXPY,11201,INTERSECTION,40.69983614454,-73.98465097789,Location Type: Highway,UNKNOWN,2019-12-18 14:50:00.000
45191400,Street Light Out,Street Light Condition,2019-12-18 09:45:00,2019-12-18 12:32:00.000,Closed,0,BROOKLYN,18 BROOKLYN,71 GAYLORD DRIVE SOUTH,GAYLORD DRIVE SOUTH,11234,INTERSECTION,40.60889459684,-73.90633858432,Location Type: Intersection,UNKNOWN,2019-12-18 12:32:00.000
45192108,Street Light Out,Street Light Condition,2019-12-18 08:15:00,2019-12-18 12:25:00.000,Closed,0,BROOKLYN,Unspecified BROOKLYN,332 BERRY STREET,BERRY STREET,11249,INTERSECTION,40.71212006205,-73.96469002101,Location Type: Intersection,UNKNOWN,2019-12-18 12:25:00.000
45190205,Street Light Out,Street Light Condition,2019-12-18 04:43:00,2019-12-18 12:53:00.000,Closed,0,BROOKLYN,05 BROOKLYN,,,11207,INTERSECTION,40.66559150369,-73.88849913743,Location Type: Intersection,UNKNOWN,2019-12-18 12:53:00.000
45194217,Street Light Out,Street Light Condition,2019-12-18 01:07:00,2019-12-18 12:50:00.000,Closed,0,BROOKLYN,09 BROOKLYN,BROOKLYN AVENUE,BROOKLYN AVENUE,11225,INTERSECTION,40.66344780355,-73.94553636754,Location Type: Intersection,UNKNOWN,2019-12-18 12:50:00.000
45186689,Lamppost Knocked Down,Street Light Condition,2019-12-18 00:38:00,2021-11-03 16:48:00.000,Closed,686,BROOKLYN,02 BROOKLYN,216 DUFFIELD STREET,DUFFIELD STREET,11201,INTERSECTION,40.69029255662,-73.98443321325,Location Type: Intersection,UNKNOWN,2021-11-03 16:48:00.000
45184465,Street Light Out,Street Light Condition,2019-12-17 23:22:00,2019-12-18 12:44:00.000,Closed,1,BROOKLYN,03 BROOKLYN,36 TAAFFE PLACE,TAAFFE PLACE,11205,INTERSECTION,40.69773627798,-73.96092541795,Location Type: Intersection,UNKNOWN,2019-12-18 12:44:00.000
45179108,Street Light Out,Street Light Condition,2019-12-17 22:29:00,2019-12-18 12:55:00.000,Closed,1,BROOKLYN,02 BROOKLYN,10 NEVINS STREET,NEVINS STREET,11217,ADDRESS,40.68842835592,-73.98108383591,Location Type: Residential Address,UNKNOWN,2019-12-18 12:55:00.000
45179105,Street Light Out,Street Light Condition,2019-12-17 21:55:00,2019-12-18 12:54:00.000,Closed,1,BROOKLYN,02 BROOKLYN,STATE STREET,STATE STREET,11201,BLOCKFACE,40.69129536208,-73.99549252351,Location Type: Other,UNKNOWN,2019-12-18 12:54:00.000
45183420,Street Light Out,Street Light Condition,2019-12-17 21:17:00,2019-12-18 12:54:00.000,Closed,1,BROOKLYN,12 BROOKLYN,1663 55 STREET,55 STREET,11204,ADDRESS,40.62680342718,-73.98754616874,Location Type: Residential Address,UNKNOWN,2019-12-18 12:54:00.000
45186756,Street Light Out,Street Light Condition,2019-12-17 20:30:00,2020-02-11 13:50:00.000,Closed,56,BROOKLYN,04 BROOKLYN,37 NOLL STREET,NOLL STREET,11206,INTERSECTION,40.70004174845,-73.93608641176,Location Type: Intersection,UNKNOWN,2020-02-11 13:50:00.000
45186729,Street Light Out,Street Light Condition,2019-12-17 20:22:00,2019-12-18 12:49:00.000,Closed,1,BROOKLYN,06 BROOKLYN,,,11231,INTERSECTION,40.68510037572,-73.99457710814,Location Type: Intersection,UNKNOWN,2019-12-18 12:49:00.000
