UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
44222166,Street Light Out,Street Light Condition,2019-11-03 19:43:00,2019-11-05 11:52:00.000,Closed,2,QUEENS,13 QUEENS,214-028 217 ST,217 ST,11411,INTERSECTION,40.69926855324,-73.74100871944,Location Type: Intersection,UNKNOWN,2019-11-05 11:52:00.000
44222230,Street Light Out,Street Light Condition,2019-11-03 18:58:00,2019-11-04 10:15:00.000,Closed,1,QUEENS,13 QUEENS,225-011 139 AVE,139 AVE,11413,INTERSECTION,40.67102306250,-73.74892300963,Location Type: Intersection,UNKNOWN,2019-11-04 10:15:00.000
44216639,Street Light Out,Street Light Condition,2019-11-03 18:01:00,2019-11-15 13:41:00.000,Closed,12,QUEENS,13 QUEENS,219 MURDOCK AVE,MURDOCK AVE,11429,INTERSECTION,40.70333809069,-73.73815447683,Location Type: Intersection,UNKNOWN,2019-11-15 13:41:00.000
44221067,Street Light Out,Street Light Condition,2019-11-03 18:00:00,2019-11-05 11:38:00.000,Closed,2,QUEENS,05 QUEENS,,,11379,INTERSECTION,40.72165143130,-73.88643919100,Location Type: Intersection,UNKNOWN,2019-11-05 11:38:00.000
44223169,Street Light Out,Street Light Condition,2019-11-03 17:57:00,2019-11-04 09:31:00.000,Closed,1,QUEENS,09 QUEENS,134-016 95 AVE,95 AVE,11419,INTERSECTION,40.69587852370,-73.81486327416,Location Type: Intersection,UNKNOWN,2019-11-04 09:31:00.000
44222949,Street Light Out,Street Light Condition,2019-11-03 17:00:00,2020-08-28 15:33:00.000,Closed,299,QUEENS,12 QUEENS,111-37 VAN WYCK EXPRESSWAY,VAN WYCK EXPRESSWAY,11435,ADDRESS,40.68360206802,-73.80544354351,Location Type: Highway,UNKNOWN,2019-12-13 12:55:00.000
44223170,Street Light Out,Street Light Condition,2019-11-03 14:04:00,2019-11-04 10:15:00.000,Closed,1,QUEENS,13 QUEENS,241-030 MEMPHIS AVE,MEMPHIS AVE,11422,INTERSECTION,40.66467742225,-73.73798543533,Location Type: Intersection,UNKNOWN,2019-11-04 10:15:00.000
44221121,Street Light Out,Street Light Condition,2019-11-03 13:55:00,2019-11-04 09:34:00.000,Closed,1,QUEENS,02 QUEENS,,,11104,INTERSECTION,40.74732144092,-73.92451025036,Location Type: Intersection,UNKNOWN,2019-11-04 09:34:00.000
44222018,Lamppost Leaning,Street Light Condition,2019-11-03 13:47:00,2019-11-04 11:41:00.000,Closed,1,QUEENS,05 QUEENS,,,11378,INTERSECTION,40.73353150690,-73.89595920930,Location Type: Intersection,UNKNOWN,2019-11-04 11:41:00.000
44220445,Street Light Out,Street Light Condition,2019-11-03 13:10:00,2019-11-04 10:39:00.000,Closed,1,QUEENS,02 QUEENS,39-65 52 STREET,52 STREET,11377,ADDRESS,40.74680770048,-73.91222583913,Location Type: Residential Address,UNKNOWN,2019-11-04 10:39:00.000
44223171,Street Light Out,Street Light Condition,2019-11-03 12:58:00,2019-11-05 11:42:00.000,Closed,2,QUEENS,05 QUEENS,72-15 GRAND AVENUE,GRAND AVENUE,11378,INTERSECTION,40.72816140934,-73.89151895561,Location Type: Intersection,UNKNOWN,2019-11-05 11:42:00.000
44220399,Street Light Out,Street Light Condition,2019-11-03 08:36:00,2019-11-04 10:43:00.000,Closed,1,QUEENS,11 QUEENS,56-28 217 STREET,217 STREET,11364,ADDRESS,40.75119025829,-73.76213745313,Location Type: Residential Address,UNKNOWN,2019-11-04 10:43:00.000
44221948,Street Light Out,Street Light Condition,2019-11-03 07:39:00,2019-11-05 11:47:00.000,Closed,2,QUEENS,08 QUEENS,,,11367,INTERSECTION,40.72539162959,-73.82092542576,Location Type: Intersection,UNKNOWN,2019-11-05 11:47:00.000
