UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
45271821,Street Light Out,Street Light Condition,2019-12-30 10:25:00,2019-12-30 10:25:00.000,Closed,0,STATEN ISLAND,01 STATEN ISLAND,,,10310,INTERSECTION,40.62458186900,-74.11407289683,Location Type: Intersection,UNKNOWN,2019-12-29 10:25:00.000
45271822,Street Light Out,Street Light Condition,2019-12-30 10:24:00,2019-12-30 10:24:00.000,Closed,0,STATEN ISLAND,01 STATEN ISLAND,,,10301,INTERSECTION,40.64535764886,-74.08862806106,Location Type: Intersection,UNKNOWN,2019-12-29 10:24:00.000
45271823,Street Light Out,Street Light Condition,2019-12-30 10:23:00,2019-12-30 10:23:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10309,INTERSECTION,40.53171229624,-74.20289192495,Location Type: Intersection,UNKNOWN,2019-12-29 10:23:00.000
45276628,Street Light Out,Street Light Condition,2019-12-30 10:21:00,2019-12-30 10:21:00.000,Closed,0,STATEN ISLAND,01 STATEN ISLAND,,,10301,INTERSECTION,40.62232272513,-74.10564335498,Location Type: Intersection,UNKNOWN,2019-12-29 10:21:00.000
45275530,Street Light Out,Street Light Condition,2019-12-30 10:15:00,2019-12-30 10:15:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10306,INTERSECTION,40.56876340406,-74.11148321326,Location Type: Intersection,UNKNOWN,2019-12-29 10:15:00.000
45274066,Street Light Out,Street Light Condition,2019-12-30 10:11:00,2019-12-30 10:11:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10305,INTERSECTION,40.58763542540,-74.09111852997,Location Type: Intersection,UNKNOWN,2019-12-29 10:11:00.000
45271986,Fixture/Luminaire Door Open,Street Light Condition,2019-12-30 10:10:00,2019-12-30 10:10:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.54785205687,-74.18825647597,Location Type: Intersection,UNKNOWN,2019-12-29 10:10:00.000
45272581,Street Light Out,Street Light Condition,2019-12-30 10:08:00,2019-12-30 10:08:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.54238266184,-74.20218314252,Location Type: Intersection,UNKNOWN,2019-12-29 10:08:00.000
45273304,Street Light Out,Street Light Condition,2019-12-30 10:07:00,2019-12-30 10:07:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.53087130599,-74.19398596717,Location Type: Intersection,UNKNOWN,2019-12-29 10:07:00.000
45271016,Street Light Out,Street Light Condition,2019-12-30 10:07:00,2019-12-30 10:07:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10309,INTERSECTION,40.53223628586,-74.21801342953,Location Type: Intersection,UNKNOWN,2019-12-29 10:07:00.000
45274067,Street Light Out,Street Light Condition,2019-12-30 10:06:00,2019-12-30 10:06:00.000,Closed,0,STATEN ISLAND,03 STATEN ISLAND,,,10312,INTERSECTION,40.54326125185,-74.19730690947,Location Type: Intersection,UNKNOWN,2019-12-29 10:06:00.000
45270313,Street Light Out,Street Light Condition,2019-12-30 10:02:00,2019-12-30 10:02:00.000,Closed,0,STATEN ISLAND,02 STATEN ISLAND,,,10314,INTERSECTION,40.60424078430,-74.12661021998,Location Type: Intersection,UNKNOWN,2019-12-29 10:02:00.000
